Gene	M_19W_embryo1_26_sc1	M_19W_embryo1_26_sc2	M_19W_embryo1_26_sc3	M_19W_embryo1_26_sc4	M_19W_embryo1_26_sc5	M_19W_embryo1_26_sc6	M_19W_embryo1_26_sc7	M_19W_embryo1_26_sc8	M_19W_embryo1_26_sc9	M_19W_embryo1_26_sc10	M_19W_embryo1_26_sc11	M_19W_embryo1_26_sc12	M_19W_embryo1_26_sc13	M_19W_embryo1_26_sc14	M_19W_embryo1_26_sc15	M_19W_embryo1_26_sc16	M_19W_embryo1_26_sc17	M_19W_embryo1_26_sc18	M_19W_embryo1_26_sc19	M_19W_embryo1_26_sc20	M_19W_embryo1_26_sc21	M_19W_embryo1_26_sc22	M_19W_embryo1_26_sc24	M_19W_embryo1_26_sc25	M_19W_embryo1_26_sc26	M_19W_embryo1_26_sc27	M_19W_embryo1_26_sc28	M_19W_embryo1_26_sc29	M_19W_embryo1_26_sc30	M_19W_embryo1_26_sc31	M_19W_embryo1_26_sc32	M_19W_embryo1_26_sc33	M_19W_embryo1_26_sc35	M_19W_embryo1_26_sc36	M_19W_embryo1_26_sc37	M_19W_embryo1_26_sc38	M_19W_embryo1_26_sc39	M_19W_embryo1_26_sc40	M_19W_embryo1_26_sc41	M_19W_embryo1_26_sc42	M_19W_embryo1_26_sc43	M_19W_embryo1_26_sc44	M_19W_embryo1_26_sc45	M_19W_embryo1_26_sc46	M_19W_embryo1_26_sc47	M_19W_embryo1_26_sc48	M_19W_embryo1_26_sc49	M_19W_embryo1_26_sc50
USP10	199.65	289.17	212.14	211.45	80.37	241.83	89.98	136.71	12.97	111.7	4.94	35.91	62.05	69.6	2.29	14.35	0	36.17	287.88	169.18	132.54	175.67	129.96	0	161.25	81.29	68.43	122.41	204.77	161.95	242.68	83.01	51.75	152.71	107.91	55.08	238.74	136.45	110.79	87.25	76.32	114.75	68.21	72.75	51.52	20.91	109.84	123.18
USP11	805.91	637.54	848.56	736.28	334.89	999.58	1082.32	699.91	733.52	7.38	416.91	563.71	369.79	729.46	758.64	496.73	989.12	622.66	1544.49	277.03	898.58	1055.34	1167.71	1357.8	1546.24	696.49	922.04	1276.53	24.57	965.33	1546.62	754.19	562.75	346.32	1089.48	1171.23	813.59	757.72	592.03	875.61	895.67	867.01	772.66	1014.4	1852.96	853.91	1145.03	748.68
USP12	126.61	157.11	171.66	62.37	194.23	59.11	122.11	13.37	327.13	187.58	204.33	1.8	36.73	120.46	116.89	62.76	102	124.01	4.57	156.49	150.51	122.71	56.5	195.18	87.79	96.07	0	116.58	100.63	15.88	26.96	101.98	108.34	35.45	19.5	51.84	179.05	311.44	1.73	68.55	58.36	0	47.13	97.7	65.26	53.44	108.18	111.63
USP12-AS1	0	0	0	0	0	37.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP12-AS2	0	0	35.63	0	0	0	0	0	0	0	0	0	0	6.69	0	0	0	0	0	0	0	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP13	26.78	0	0	0	107.16	0	0	20.8	0	0	0	37.7	43.06	41.49	0	82.49	0	0	66.26	0	125.8	73.63	52.74	48.09	0	0	45.02	0	0	0	77.04	0	0	0	1.3	43.74	0	0	0	31.16	15.71	0	0	0	0	0	16.64	3.85
USP14	131.48	2.28	30.77	235.79	53.58	171.97	66.84	38.64	142.67	160.18	6.59	62.83	174.76	123.14	36.67	52	123.64	7.75	63.97	35.95	40.44	3.88	86.64	206.5	102.13	53.58	48.62	14.57	182.54	133.37	34.67	28.46	97.03	68.17	42.9	132.84	56.54	72.24	29.43	215.01	105.5	54.19	120.3	60.28	89.3	111.53	154.78	15.4
USP15	34.09	77.42	93.92	1.52	40.19	118.23	38.56	47.55	110.97	98	24.72	57.45	65.85	60.23	71.05	125.53	6.18	2.58	91.39	156.49	96.6	18.08	32.02	124.47	0	0	16.21	131.15	11.7	6.35	69.34	67.59	166.56	163.61	40.3	0	40.84	35.32	102.13	63.88	92.04	0	86.82	81.07	20.61	138.25	151.45	107.78
USP16	438.26	266.4	604.03	333.15	522.42	403.06	149.11	515.64	436.65	385.69	599.82	836.59	245.68	279.74	137.52	392.72	293.64	302.29	205.63	334.13	415.59	319.06	248.61	486.55	121.84	515.44	441.21	518.77	97.12	123.84	317.8	243.1	554.66	695.36	261.32	377.45	408.36	261.67	363.53	260.19	597.11	274.13	141.39	191.24	376.09	295.09	427.72	194.39
USP17L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP18	56	56.92	0	0	40.19	69.86	79.7	0	0	1.05	0	0	34.19	42.83	9.17	0	0	0	0	0	33.7	12.92	28.25	0	57.33	123.78	64.83	0	0	0	0	0	40.43	65.45	0	0	0	1.61	58.86	0	71.83	0	1.24	0	226.68	0	0	0
USP19	63.3	102.46	85.83	31.95	0	0	1.29	63.9	0	26.34	140.07	48.47	49.39	66.92	206.28	14.35	0	72.34	0	35.95	110.08	11.63	84.75	2.83	0	11.08	46.82	0	1.17	22.23	0	100.8	16.17	0	27.3	16.2	6.28	61	36.35	0	159.38	54.19	148.83	58.2	89.3	92.94	1.66	59.66
USP2	21.91	31.88	100.4	1.52	83.72	96.73	23.14	0	2.88	0	0	0	10.13	6.69	0	1.79	0	36.17	0	4.23	0	131.76	5.65	101.84	116.46	38.8	50.42	2.91	1.17	0	1.93	0	0	0	49.4	12.96	3.14	12.84	0	269.54	0	0	0	24.94	0	58.09	0	11.55
USP2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP20	0	29.6	0	0	0	0	0	0	0	0	88.98	0	55.72	48.18	0	1.79	123.64	43.92	2.28	0	2.25	12.92	0	0	46.58	0	0	64.12	0	9.53	7.7	22.53	69.53	19.09	79.31	43.74	0	4.82	3.46	7.79	0	0	0	0	3.43	0	8.32	0
USP21	0	2.28	0	4.56	6.7	0	0	84.7	0	22.13	23.07	0	25.33	0	0	5.38	52.55	51.67	0	0	4.49	1.29	26.37	0	30.46	57.27	1.8	49.55	0	44.46	96.3	17.79	56.6	19.09	0	0	12.57	0	10.39	32.72	13.47	12.75	18.6	24.94	0	32.53	0	1.92
USP22	133.91	0	55.06	28.9	20.09	155.85	190.24	179.81	249.31	27.4	51.08	71.81	145.64	156.6	13.75	120.15	0	20.67	148.51	38.07	4.49	29.71	128.07	0	43	3.69	41.42	72.86	65.53	60.33	71.26	199.22	153.62	5.45	210.62	140.94	59.68	78.66	157.53	56.09	38.16	15.94	40.93	141.35	1.72	23.24	108.18	15.4
USP24	34.09	50.09	3.24	3.04	0	0	0	44.58	210.4	21.08	11.53	0	0	6.69	22.92	16.14	200.91	67.17	59.4	4.23	0	21.96	11.3	79.21	7.17	5.54	48.62	14.57	0	3.18	0	0	1.62	0	0	0	3.14	0	32.89	1.56	0	3.19	8.68	29.1	89.3	0	28.29	0
USP25	109.56	6.83	38.87	0	120.56	5.37	1.29	98.08	20.18	0	135.12	0	108.91	1.34	4.58	32.28	46.36	5.17	2.28	71.9	0	1.29	0	0	0	0	0	0	1.17	88.91	44.3	62.85	1.62	0	0	0	0	0	0	0	53.87	0	31.01	35.34	17.17	22.07	0	25.02
USP26	0	0	0	0	0	0	0	0	0	1.05	0	26.93	0	0	0	0	0	0	0	0	0	37.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.89	23.37	0	0	47.13	16.63	0	0	0	0
USP27X	80.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.67	41.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP27X-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66	0	0	0	0	40.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP28	0	0	0	21.3	20.09	0	0	16.35	18.73	56.9	0	0	73.45	0	0	0	9.27	0	50.26	131.12	2.25	2.58	7.53	0	0	1.85	3.6	14.57	57.34	47.63	69.34	71.15	6.47	103.62	3.9	8.1	0	11.24	6.92	14.02	11.22	0	22.32	6.24	1.72	0	13.31	1.92
USP29	0	0	0	0	0	5.37	0	0	0	0	0	0	0	0	0	0	0	0	0	86.71	0	0	0	0	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP3	63.3	161.66	108.5	109.53	154.05	349.32	110.55	215.47	252.19	37.94	95.58	228	13.93	298.48	13.75	64.56	71.09	279.03	299.3	211.48	60.65	179.55	116.77	319.65	308.17	129.32	124.26	110.75	40.95	63.51	42.37	297.64	318.57	169.07	152.11	115.02	279.57	428.63	180.03	93.48	177.34	181.69	62.01	249.44	92.73	97.59	48.26	138.57
USP3-AS1	0	0	25.91	1.52	87.07	5.37	0	0	41.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91	0	0	0	0	14.55	0	0	0	0	6.42	0	0	0	0	0	0	0	0	0	0
USP30	2.43	27.32	6.48	21.3	13.4	107.48	3.86	117.39	0	0	13.18	30.52	29.13	1.34	71.05	46.62	64.91	0	0	2.11	0	0	15.07	0	0	109	18.01	5.83	0	0	0	37.95	33.96	0	28.6	1.62	9.42	24.08	0	26.49	0	3.19	33.49	47.81	5.15	37.18	0	96.23
USP30-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP31	340.87	84.25	174.89	167.34	291.35	150.47	257.08	206.55	183.02	3.16	411.96	114.9	111.44	109.75	240.66	34.07	225.64	142.1	769.96	198.79	175.22	226.05	175.16	345.11	207.84	120.08	169.28	209.84	15.21	203.23	306.24	98.42	234.48	32.72	204.12	174.96	131.93	109.16	304.67	59.2	109.99	3.19	91.78	282.7	121.93	164.97	0	152.05
USP32	0	0	1.62	30.42	0	0	0	0	1.44	89.57	0	3.59	43.06	0	0	0	0	67.17	0	0	0	0	5.65	0	66.29	1.85	0	99.09	36.27	0	52	0	0	0	0	0	21.99	0	0	1.56	0	0	28.53	4.16	65.26	20.91	0	71.21
USP32P1	7.3	40.98	25.91	0	0	0	18	0	24.5	20.02	16.48	5.39	3.8	9.37	11.46	127.32	61.82	0	0	0	29.2	1.29	28.25	0	1.79	12.93	68.43	64.12	0	6.35	1.93	48.62	27.49	2.73	0	1.62	0	40.13	0	1.56	29.18	0	13.64	2.08	24.04	0	3.33	1.92
USP32P2	0	0	0	0	0	0	0	0	2.88	0	0	12.57	24.06	0	0	0	64.91	77.51	9.14	0	20.22	0	28.25	0	0	0	1.8	0	0	3.18	0	0	0	0	0	8.1	0	0	0	0	17.96	0	7.44	0	0	0	13.31	0
USP33	109.56	70.58	93.92	82.15	214.33	257.96	172.25	65.38	103.76	37.94	161.49	107.72	79.78	78.97	169.6	41.24	74.18	193.77	116.52	441.99	339.21	202.8	3.77	110.32	130.79	258.64	79.24	0	106.48	158.77	173.34	72.34	67.92	237.24	84.51	56.7	65.97	28.9	122.91	98.16	22.45	19.13	53.33	191.24	42.93	126.63	28.29	69.29
USP34	138.78	15.94	108.5	130.83	190.89	64.49	206.95	193.18	76.38	110.65	46.14	140.03	88.65	127.15	135.23	34.07	95.82	51.67	95.96	310.87	276.31	2.58	79.1	79.21	55.54	125.63	79.24	99.09	177.86	114.32	38.52	43.88	265.2	269.96	1.3	58.32	0	131.64	152.33	102.83	78.57	200.81	106.66	118.49	202.64	113.85	239.66	90.46
USP35	34.09	0	11.34	0	6.7	26.87	0	0	0	0	4.94	3.59	0	0	2.29	0	9.27	0	0	2.11	42.68	0	0	0	43	0	30.61	0	0	3.18	1.93	0	12.94	0	10.4	0	0	14.45	8.66	0	0	0	1.24	33.26	0	0	0	11.55
USP36	80.35	59.2	4.86	10.65	30.14	37.62	0	41.61	5.76	2.11	8.24	1.8	51.92	74.95	6.88	163.19	6.18	23.25	13.71	0	31.45	15.5	0	203.67	46.58	38.8	54.03	5.83	15.21	111.14	46.23	37.95	27.49	5.45	39	30.78	0	11.24	1.73	10.91	24.69	0	54.57	43.65	10.3	20.91	46.6	40.42
USP37	97.39	0	21.05	54.76	23.44	42.99	74.55	16.35	61.97	26.34	113.7	53.86	165.9	22.75	162.73	121.94	83.46	0	2.28	219.94	62.9	5.17	5.65	0	164.84	29.56	64.83	14.57	113.5	0	44.3	98.42	25.87	54.54	31.2	124.74	34.55	0	62.32	18.7	60.61	124.31	4.96	33.26	0	0	9.99	19.25
USP38	0	0	0	0	113.86	0	0	0	0	0	0	1.8	0	0	9.17	0	0	0	9.14	0	0	0	13.18	14.14	3.58	0	1.8	0	0	0	38.52	10.67	19.41	24.54	24.7	1.62	0	0	0	0	0	0	12.4	0	0	0	0	15.4
USP39	0	43.26	90.69	1.52	43.54	0	132.4	68.36	5.76	136.99	44.49	0	15.2	33.46	0	1.79	68	2.58	0	0	0	82.67	0	5.66	21.5	29.56	0	81.6	84.25	95.26	86.67	55.73	38.81	54.54	49.4	43.74	31.41	59.4	22.5	0	47.14	0	35.97	24.94	1.72	8.13	28.29	0
USP4	48.7	34.15	12.96	0	0	0	3.86	123.34	1.44	37.94	92.28	17.95	0	34.8	0	7.17	120.55	0	0	0	4.49	0	18.83	0	80.63	16.63	0	64.12	0	0	0	33.2	32.34	0	0	34.02	0	0	32.89	35.83	2.24	149.81	88.06	41.57	22.32	0	174.75	167.44
USP40	0	97.91	46.96	0	0	0	55.27	83.22	0	2.11	52.73	8.98	3.8	22.75	38.96	28.69	129.82	2.58	79.97	4.23	15.73	0	0	93.35	0	1.85	0	55.37	0	6.35	0	36.76	48.51	149.98	1.3	0	0	0	13.85	28.04	17.96	3.19	69.45	37.42	3.43	33.69	43.27	1.92
USP42	0	52.37	35.63	3.04	204.28	214.96	18	77.27	1.44	8.43	113.7	1.8	92.45	0	25.21	1.79	3.09	0	50.26	6.34	65.15	33.58	64.04	65.06	0	24.02	0	209.84	1.17	6.35	48.15	18.97	3.23	2.73	66.31	48.6	3.14	110.77	13.85	1.56	26.94	3.19	11.16	41.57	39.5	48.79	1.66	32.72
USP43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.96	0	0	0	1.3	0	0	0	5.19	0	0	0	1.24	0	0	0	0	0
USP44	14.61	0	45.34	0	20.09	0	0	1.49	31.7	0	0	0	0	0	0	25.11	30.91	0	0	0	15.73	0	0	0	0	0	37.82	0	0	0	40.45	0	0	8.18	48.1	0	0	0	0	4.67	0	0	94.26	0	0	0	0	0
USP45	2.43	0	29.15	7.61	56.93	0	3.86	87.67	4.32	3.16	47.79	7.18	1.27	5.35	0	26.9	0	77.51	0	2.11	8.99	0	5.65	0	0	0	0	37.89	4.68	0	44.3	0	0	8.18	0	4.86	3.14	0	0	1.56	22.45	0	18.6	18.71	10.3	2.32	3.33	32.72
USP46	31.65	15.94	17.81	6.08	0	0	70.7	101.05	54.76	90.63	21.42	0	45.59	42.83	18.34	1.79	0	2.58	0	188.21	0	32.29	45.2	0	62.71	0	0	0	44.47	79.39	0	11.86	0	139.07	74.11	110.16	0	62.61	114.25	0	0	95.63	18.6	99.78	17.17	38.34	1.66	57.74
USP46-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.32	0	0	2.34	0	0	0	1.62	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0
USP47	199.65	145.72	45.34	66.93	137.3	360.06	0	0	119.61	36.88	107.11	57.45	135.51	72.28	22.92	109.39	262.73	31	63.97	63.44	60.65	58.13	37.67	183.87	17.92	36.95	117.06	0	5.85	28.58	1.93	50.99	124.52	62.72	84.51	69.66	163.35	3.21	136.76	73.23	49.39	79.69	116.58	103.93	56.67	18.59	79.89	38.49
USP48	0	129.78	42.1	133.87	0	150.47	19.28	20.8	139.79	95.9	1.65	0	68.39	95.03	80.22	14.35	0	2.58	2.28	16.92	0	36.17	1.88	5.66	46.58	53.58	162.08	99.09	160.31	165.12	84.75	198.03	24.26	8.18	81.91	45.36	0	109.16	69.24	52.97	6.73	0	33.49	58.2	106.47	89.46	76.56	57.74
USP49	0	4.55	38.87	19.78	30.14	161.22	146.54	0	5.76	26.34	42.84	0	36.73	0	2.29	0	0	33.59	31.99	0	83.12	0	26.37	0	121.84	0	21.61	29.14	44.47	76.21	5.78	24.9	0	125.44	20.8	0	3.14	4.82	0	0	22.45	0	26.04	43.65	0	0	58.25	0
USP5	4.87	31.88	0	9.13	10.05	0	53.99	136.71	0	31.61	36.25	0	15.2	5.35	32.09	8.97	3.09	0	2.28	35.95	29.2	19.38	26.37	0	50.17	38.8	43.22	26.23	0	50.81	36.59	14.23	21.02	8.18	33.8	9.72	25.13	6.42	29.43	1.56	15.71	35.06	44.65	58.2	18.89	32.53	11.65	3.85
USP50	0	0	0	0	0	0	0	0	0	0	0	0	22.8	0	0	0	0	0	20.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.87	3.46	0	0	0	0	0	0	0	0	0
USP51	65.74	0	0	0	26.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79	0	0	0	0	0	0	107.91	54.98	32.72	0	0	0	0	1.73	0	0	0	0	16.63	0	0	0	0
USP53	0	0	40.48	0	0	5.37	101.55	166.43	0	0	0	1.8	35.46	1.34	9.17	0	43.27	20.67	0	0	4.49	40.04	0	0	28.67	0	30.61	2.91	0	0	0	41.5	56.6	35.45	11.7	40.5	0	9.63	53.66	10.91	2.24	0	0	0	0	1.16	0	0
USP54	0	0	9.72	13.69	40.19	5.37	0	0	72.06	49.53	0	0	62.05	22.75	0	14.35	0	0	0	0	0	0	58.39	0	0	60.97	3.6	0	2.34	0	21.19	126.88	54.98	68.17	1.3	0	0	12.84	29.43	0	22.45	0	0	43.65	27.48	1.16	39.94	28.87
USP6	0	2.28	85.83	6.08	6.7	5.37	0	84.7	2.88	1.05	36.25	55.65	70.92	33.46	41.26	43.04	145.28	12.92	6.85	14.8	8.99	7.75	0	0	1.79	9.24	23.41	11.66	7.02	139.72	115.56	1.19	3.23	0	7.8	4.86	21.99	44.95	0	23.37	2.24	89.25	19.84	6.24	6.87	9.29	0	5.77
USP6NL	0	0	0	22.82	0	21.5	11.57	0	0	2.11	0	0	0	0	0	1.79	0	0	0	0	0	36.17	146.91	82.03	0	0	3.6	0	0	0	34.67	5.93	0	2.73	11.7	0	0	4.82	0	1.56	0	0	14.88	0	1.72	0	0	0
USP7	97.39	138.89	0	98.88	150.7	134.35	110.55	37.15	44.67	43.21	31.31	78.99	162.1	89.68	50.42	143.46	513.1	209.27	47.98	65.56	2.25	2.58	0	96.18	98.54	1.85	104.45	122.41	40.95	3.18	11.56	55.73	77.62	0	18.2	3.24	91.1	120.4	93.48	84.13	305.29	3.19	26.04	72.75	0	66.22	161.44	61.59
USP8	148.52	307.38	163.56	53.24	194.23	193.47	120.83	139.68	193.11	160.18	337.81	25.13	167.17	80.31	252.12	218.78	129.82	250.61	233.04	109.97	71.89	294.51	99.82	297.02	50.17	341.78	158.48	276.87	224.67	358.82	48.15	183.8	203.75	155.43	301.62	103.68	204.18	30.5	117.71	253.96	29.18	149.81	179.83	266.07	211.23	148.71	129.81	51.97
USP9X	214.26	134.34	200.8	141.48	291.35	241.83	412.62	126.31	484.21	151.75	79.1	175.93	74.72	263.68	148.98	267.2	278.19	198.94	502.65	213.59	49.42	204.09	203.41	251.76	55.54	266.03	343.96	75.78	1.17	365.18	290.83	409.11	386.48	32.72	265.22	230.03	380.09	316.25	328.9	249.28	264.88	9.56	332.38	284.78	427.61	247.46	334.52	404.17
USP9Y	0	2.28	27.53	12.17	0	112.86	0	0	0	0	0	3.59	0	0	0	0	3.09	0	0	0	67.39	0	5.65	2.83	7.17	1.85	0	0	0	60.33	0	1.19	1.62	70.9	0	0	34.55	0	0	12.46	0	0	11.16	54.05	0	0	0	0
USPL1	0	0	0	22.82	6.7	96.73	78.41	154.54	1.44	21.08	0	0	5.07	30.78	87.09	16.14	151.46	255.78	73.11	67.67	33.7	2.58	7.53	87.69	0	3.69	45.02	102.01	19.89	34.93	46.23	18.97	0	2.73	53.3	51.84	15.71	27.29	0	10.91	26.94	51	40.93	18.71	54.95	53.44	0	26.94
UST	0	0	0	0	0	0	0	0	0	0	0	0	31.66	6.69	0	0	0	0	0	0	0	0	0	0	32.25	0	0	0	0	0	36.59	0	12.94	0	1.3	3.24	3.14	0	1.73	0	0	0	0	41.57	0	0	0	0
UTAT33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTF1	2.43	11.38	0	0	13.4	0	33.42	0	17.29	30.56	0	0	7.6	0	0	0	0	0	0	2.11	101.09	24.54	18.83	0	0	0	18.01	0	0	0	38.52	3.56	12.94	141.8	5.2	0	0	6.42	1.73	9.35	0	0	0	8.31	44.65	0	0	0
UTP11L	102.26	323.32	119.84	118.66	251.17	274.08	336.78	206.55	155.64	240.27	408.67	254.93	138.04	194.08	419.43	369.41	18.55	90.43	244.47	97.28	186.45	343.6	71.57	16.97	154.09	247.56	259.32	134.06	169.67	0	142.53	17.79	116.43	253.6	106.61	244.61	254.44	322.67	398.15	500.13	96.53	98.81	133.94	155.9	125.36	442.64	108.18	313.71
UTP14A	0	0	0	0	103.82	0	0	0	0	89.57	39.55	0	1.27	0	0	14.35	0	38.75	0	0	0	32.29	0	2.83	0	0	37.82	0	0	0	52	0	0	73.63	0	149.04	0	61	0	9.35	0	0	0	20.79	56.67	0	0	36.57
UTP14C	0	34.15	8.1	18.25	0	0	1.29	59.44	0	0	0	26.93	1.27	0	0	0	18.55	0	0	0	0	0	0	0	0	86.83	27.01	0	56.17	0	0	130.44	82.47	0	0	3.24	109.94	64.21	39.81	0	0	6.38	0	0	1.72	0	23.3	1.92
