Gene	M_19W_embryo2_103_sc1	M_19W_embryo2_103_sc2	M_19W_embryo2_103_sc3	M_19W_embryo2_103_sc4	M_19W_embryo2_103_sc5	M_19W_embryo2_103_sc6	M_19W_embryo2_103_sc7	M_19W_embryo2_103_sc8	M_19W_embryo2_103_sc9	M_19W_embryo2_103_sc10	M_19W_embryo2_103_sc11	M_19W_embryo2_103_sc12	M_19W_embryo2_103_sc13	M_19W_embryo2_103_sc14	M_19W_embryo2_103_sc15	M_19W_embryo2_103_sc16	M_19W_embryo2_103_sc17	M_19W_embryo2_103_sc18	M_19W_embryo2_103_sc19	M_19W_embryo2_103_sc20	M_19W_embryo2_103_sc21	M_19W_embryo2_103_sc22	M_19W_embryo2_103_sc23	M_19W_embryo2_103_sc24	M_19W_embryo2_103_sc25	M_19W_embryo2_103_sc26	M_19W_embryo2_103_sc27	M_19W_embryo2_103_sc28	M_19W_embryo2_103_sc29	M_19W_embryo2_103_sc30	M_19W_embryo2_103_sc31	M_19W_embryo2_103_sc32	M_19W_embryo2_103_sc33	M_19W_embryo2_103_sc34	M_19W_embryo2_103_sc35	M_19W_embryo2_103_sc36	M_19W_embryo2_103_sc37	M_19W_embryo2_103_sc38	M_19W_embryo2_103_sc39	M_19W_embryo2_103_sc40	M_19W_embryo2_103_sc41	M_19W_embryo2_103_sc42	M_19W_embryo2_103_sc43	M_19W_embryo2_103_sc44	M_19W_embryo2_103_sc45	M_19W_embryo2_103_sc46	M_19W_embryo2_103_sc47	M_19W_embryo2_103_sc48	M_19W_embryo2_103_sc49	M_19W_embryo2_103_sc50
SYT17	164.19	0	0	0	0	28.32	0	0	93.12	0	0	0	0	0	0	0	0	0	4.11	0	0	0	0	43.69	0	0	0	0	2.93	0	0	73.45	9.32	0	0	0	1.42	0	0	0	0	47.71	8.85	98.89	93.09	0	0	0	2.06	0
SYT2	0	0	0	0	58.32	0	0	0	0	0	0	0	0	1.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12	0	0	0	0
SYT3	0	0	54.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.83	132.61	56.98	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	92.89	0	88.56	1.38
SYT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT5	0	0	0	0	0	0	23.9	6.98	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	2.1	0	0	0	3.07	0	74.74
SYT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT7	0	40.72	21.02	72.9	3.89	47.93	0	43.6	62.49	0	91.2	0	0	0	0	0	0	70.72	0	0	0	1.93	0	35.74	0	34.78	67.84	54.37	0	0	92.03	0	44.75	0	42.41	0	43.99	0	0	0	0	0	0	201.99	37.23	0	151.15	119.68	2.06	1.38
SYT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.43	0
SYT9	0	0	0	0	0	0	0	34.88	0	0	0	0	0	17.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.98	0	0
SYTL1	0	87.87	0	38.6	0	47.93	53.78	38.37	0	0	2.2	0	0	1.98	54.02	0	147.98	67.36	2.06	0	25.07	77.06	0	0	130.98	32.61	10.85	0	0	0	0	2.53	0	0	185.26	0	0	0	3.8	115.63	0	0	1.47	0	87.77	56.14	0	13.81	0	0
SYTL2	158.89	0	0	0	0	50.1	37.34	0	0	0	0	0	42.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.5	0	0	115.6	0	0	1.69	0	206.97	0	180.24	23.61	1.4	0	109.41	0	71.73	0	0	41.19	0
SYTL3	0	0	0	68.61	7.78	4.36	64.23	55.81	113.95	0	6.59	99.22	52.04	0	0	0	0	13.47	76.04	15.26	0	0	0	79.43	88.73	0	0	2.36	29.32	65.59	0	0	31.7	0	0	64.37	8.51	18	0	13.6	72.65	0	0	21.04	103.72	12.48	34.64	0	148.29	60.9
SYTL4	0	145.74	0	0	0	132.88	74.69	1.74	0	21.85	43.95	46.3	15.77	0	0	6.12	2.55	11.79	219.91	0	8.36	1.93	0	3.97	0	0	103.11	101.66	0	0	0	27.86	59.66	0	0	1.69	31.22	0	34.2	0	0	4.21	0	12.62	0	0	0	70.58	261.56	0
SYTL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYVN1	7.06	0	7.51	0	0	21.78	14.94	78.48	1.23	0	0	0	3.15	47.64	0	51.99	0	0	47.27	0	0	0	0	0	4.23	2.17	51.56	0	0	25.89	0	0	0	0	69.19	57.6	0	53.99	3.8	0	0	0	39.8	0	37.23	115.4	25.19	21.48	0	0
SZRD1	61.79	68.59	0	165.1	178.85	52.28	83.65	62.79	11.03	18.49	73.62	119.06	23.65	0	48.18	0	285.76	104.4	102.76	12.72	23.4	0	0	119.15	0	0	37.99	82.74	0	148.45	159.83	35.46	139.84	0	6.7	0	1.42	247.46	0	408.1	16.35	81.39	72.24	0	58.51	0	94.47	0	0	85.81
SZT2	98.87	21.43	0	0	0	0	0	0	0	0	0	0	0	0	0	21.41	0	0	0	2.54	0	1.93	0	0	0	0	0	0	46.92	5.18	0	0	0	0	49.1	0	29.8	0	0	0	118.06	0	0	21.04	0	9.36	22.04	0	0	0
T	0	0	0	0	0	0	0	0	0	0	0	0	20.5	5.95	0	0	0	0	59.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0
TAAR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAAR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAB1	0	2.14	0	0	0	0	0	43.6	0	0	0	0	0	0	0	0	0	0	4.11	0	0	0	0	0	0	0	0	2.36	0	0	0	0	59.66	0	2.23	79.62	0	0	0	0	0	0	0	0	0	0	1.57	0	0	0
TAB2	79.45	2.14	114.11	0	108.86	6.54	0	57.55	0	28.58	0	0	85.15	45.65	0	91.74	86.75	35.36	26.72	40.7	40.11	46.23	0	119.15	0	141.31	0	40.19	46.92	1.73	116.24	0	175.27	0	29.02	111.8	63.85	236.21	91.2	108.83	7.27	49.11	23.59	25.25	50.53	177.78	83.45	131.96	63.85	0
TAB3	7.06	0	0	45.03	0	0	0	109.88	0	0	0	0	0	55.58	0	0	68.89	0	0	0	0	0	0	0	0	0	0	87.47	0	0	0	2.53	0	0	0	64.37	7.09	0	0	0	0	0	0	2.1	0	3.12	42.51	0	0	0
TAC1	0	0	0	0	0	0	0	0	1.23	20.17	1.1	0	0	0	0	0	0	30.31	0	0	0	0	0	0	0	0	0	2.36	0	53.51	0	0	0	0	0	3.39	0	0	0	0	0	0	0	2.1	61.17	34.31	0	0	0	96.88
TAC3	0	0	1.5	0	69.98	0	0	0	0	1.68	29.67	0	0	0	56.94	0	0	0	0	0	36.77	0	0	0	0	0	0	0	0	0	0	0	9.32	0	0	0	0	11.25	0	0	0	0	0	185.16	0	0	0	0	0	0
TAC4	0	0	0	0	0	0	16.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.41	0	0	0	0	0	0	0	0	0
TACC1	125.35	122.17	42.04	105.06	69.98	0	29.88	36.63	158.05	77.32	0	195.12	53.62	41.68	0	4.59	0	40.41	18.5	40.7	0	202.27	0	19.86	0	4.35	10.85	9.46	310.82	39.7	106.56	22.79	0	0	13.39	0	63.85	0	98.8	0	52.67	11.23	1.47	10.52	85.11	65.5	0	0	144.17	42.91
TACC2	0	15	45.04	180.11	46.66	82.78	191.2	15.7	1.23	53.79	1.1	85.99	0	0	0	6.12	48.48	0	121.26	0	0	0	0	75.46	0	32.61	21.71	163.12	2.93	8.63	280.92	93.71	7.46	0	49.1	140.6	36.89	94.49	41.8	91.82	65.39	159.97	1.47	2.1	101.06	31.19	56.68	35.29	67.97	71.97
TACC3	26.48	128.6	96.09	75.05	124.42	148.13	173.28	81.97	75.96	218.53	187.9	0	175.04	198.5	0	120.79	99.51	119.56	0	78.87	0	171.45	0	186.66	0	10.87	2.71	18.91	0	248.57	4.84	58.25	128.65	0	62.5	267.65	22.7	200.22	205.21	0	0	293.28	117.94	16.83	172.87	143.47	56.68	110.48	0	37.37
TACO1	0	0	1.5	0	0	0	65.73	0	0	1.68	0	0	0	0	21.9	0	0	0	0	0	1.67	0	0	79.43	4.23	6.52	0	0	0	0	48.43	0	0	0	0	0	0	0	57	377.49	0	85.6	0	37.87	5.32	81.09	0	0	0	0
TACR1	0	0	0	4.29	81.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TACR2	0	0	0	0	0	0	0	0	0	72.28	0	0	0	0	0	0	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9	0	0	0	0	0	0	0	0	0
TACR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TACSTD2	1.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.41	123.31	0	0	0	0	91.35	0	0	0	0	0	0	43.59	0	0	0	2.23	1.69	0	0	0	0	0	0	0	113.62	53.19	0	0	1.53	0	0
TADA1	68.85	32.15	7.51	0	62.21	0	92.61	73.25	37.98	68.92	18.68	62.84	72.54	53.59	65.7	152.9	0	58.94	59.6	66.15	63.51	88.61	0	87.37	0	13.04	29.85	163.12	5.86	39.7	0	86.11	102.55	0	0	123.66	32.64	56.24	0	187.04	25.43	0	48.65	0	61.17	0	1.57	36.83	0	13.84
TADA2A	0	4.29	264.25	70.76	0	0	43.32	169.17	42.88	134.48	84.61	267.88	152.96	27.79	14.6	120.79	165.84	144.81	0	170.45	66.85	42.38	0	23.83	422.53	0	2.71	141.84	111.42	132.92	82.34	75.98	89.5	0	31.25	249.02	65.27	107.98	133.01	0	92.63	70.16	184.28	54.71	122.34	56.14	121.24	50.64	0	193.77
TADA2B	0	0	0	105.06	0	0	0	0	18.38	13.45	0	0	0	75.43	1.46	0	0	0	0	0	71.86	1.93	0	0	97.18	0	0	0	52.78	0	0	2.53	0	0	0	0	34.06	0	0	3.4	0	0	0	48.39	0	0	0	0	0	0
TADA3	82.98	231.48	109.61	109.35	206.06	178.63	209.13	54.07	295.28	174.82	194.5	148.82	192.38	220.33	353.34	113.14	2.55	136.4	168.53	447.75	200.55	204.2	0	11.91	291.54	132.61	227.93	61.47	152.48	108.75	135.62	113.97	365.45	0	328.11	152.46	286.63	339.7	95	166.64	121.69	356.42	110.57	82.06	154.26	193.37	92.89	266.99	395.44	107.96
TAF1	158.89	154.32	0	132.94	0	0	0	0	63.71	57.15	176.92	0	0	0	102.21	3.06	89.3	38.73	0	17.81	38.44	0	0	15.89	0	4.35	0	33.1	0	0	0	126.63	3.73	0	0	0	105	9	0	282.27	1.82	56.13	98.77	0	0	0	51.96	133.49	111.22	83.04
TAF10	0	98.59	19.52	0	0	130.71	0	0	0	0	105.49	0	18.92	0	0	0	150.53	0	0	0	3.34	0	0	0	0	104.35	0	26	0	1.73	0	0	0	0	158.47	0	18.45	0	0	0	69.02	159.97	86.98	0	0	28.07	58.26	99.74	22.66	186.85
TAF11	100.63	0	3	0	0	0	0	1.74	0	141.2	124.17	95.91	67.81	0	20.44	0	40.82	1.68	0	2.54	8.36	0	0	0	0	0	0	0	67.44	43.15	38.75	86.11	1.86	0	200.88	1.69	55.34	0	0	0	9.08	79.98	1.47	0	2.66	12.48	15.74	1.53	0	0
TAF12	114.75	225.05	1.5	70.76	443.23	196.06	171.78	252.89	291.6	263.91	207.68	152.13	176.61	95.28	178.13	340.96	951.68	45.47	532.3	422.31	43.45	331.34	0	0	0	213.05	350.04	92.2	211.12	234.76	82.34	81.04	164.08	0	386.14	177.87	129.13	224.97	266.01	129.23	145.3	249.78	29.48	473.43	587.77	171.54	146.43	139.63	135.93	244.98
TAF13	0	0	0	25.73	0	0	14.94	0	0	0	0	0	0	168.72	0	41.28	0	0	53.44	0	100.28	0	0	0	0	0	0	26	0	0	72.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.19	0	99.65
TAF15	26.48	2.14	138.13	109.35	213.84	39.21	0	0	75.96	1.68	341.74	0	63.08	0	0	19.88	137.78	43.78	0	150.1	1.67	52.01	0	178.72	4.23	0	5.43	106.38	211.12	0	222.8	91.17	130.52	0	0	133.83	124.87	0	53.2	54.41	0	57.53	33.91	16.83	117.02	87.33	69.28	1.53	28.83	84.43
TAF1A	1.77	117.88	70.57	0	0	0	26.89	1.74	60.04	99.18	72.52	201.74	0	0	68.62	1.53	153.09	144.81	86.32	117.03	35.1	65.5	0	43.69	0	69.57	252.35	23.64	70.37	0	29.06	116.5	20.51	0	17.86	89.78	0	20.25	129.2	0	14.53	2.81	0	2.1	13.3	71.73	85.02	101.27	0	0
TAF1A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	47.31	0	0	0	0	0	67.82	0	0	0	0	0	0	0	0	11.82	0	0	0	55.72	0	0	0	0	0	0	11.4	98.62	0	0	0	0	0	3.12	45.66	0	0	0
TAF1B	40.61	38.58	90.09	47.17	0	98.03	158.34	36.63	0	242.06	126.37	211.66	121.42	101.23	56.94	74.92	61.23	119.56	8.22	272.21	103.62	258.14	0	0	291.54	169.57	122.11	2.36	184.73	134.64	96.87	227.94	48.48	0	0	96.56	5.68	9	3.8	6.8	101.71	4.21	61.92	0	250	121.64	33.06	41.43	257.44	78.89
TAF1C	1.77	0	0	47.17	0	0	0	0	1.23	0	0	0	0	0	46.72	0	17.86	6.74	0	0	0	0	0	0	0	0	0	9.46	0	0	58.12	2.53	9.32	0	0	0	0	0	0	0	10.9	42.1	16.22	0	0	0	39.36	0	0	0
TAF1D	67.09	8.57	55.55	0	143.86	56.64	17.93	40.11	96.79	6.72	240.65	39.69	88.31	238.19	40.88	71.86	73.99	90.93	55.49	284.93	80.22	82.83	0	3.97	71.83	32.61	168.23	28.37	85.03	81.13	106.56	243.13	134.25	0	156.24	152.46	154.67	166.47	53.2	255.06	147.12	16.84	114.99	69.44	69.15	171.54	48.81	85.93	37.07	78.89
TAF1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31	0	0	0	0	0	0
TAF2	88.27	150.03	232.72	2.14	97.2	287.55	180.75	191.85	42.88	122.71	131.86	59.53	225.5	319.58	204.41	146.78	45.93	183.54	55.49	162.82	218.94	7.71	0	297.86	202.81	106.52	108.54	87.47	96.76	131.19	145.3	50.65	313.24	0	26.78	116.89	238.39	6.75	136.81	146.23	130.77	148.74	30.96	50.5	63.83	121.64	143.28	141.17	2.06	206.22
TAF3	28.25	49.3	0	70.76	104.98	41.39	119.5	68.02	63.71	216.85	112.08	69.45	195.54	160.78	1.46	1.53	38.27	42.1	0	0	0	44.31	0	0	126.76	82.61	279.49	215.13	146.61	231.31	164.68	200.08	80.17	0	176.33	15.25	65.27	31.5	0	105.42	0	150.15	0	67.33	5.32	53.02	118.09	0	177.12	71.97
TAF4	52.96	0	6.01	0	0	0	97.09	3.49	123.75	0	48.35	0	3.15	0	0	0	0	0	0	0	0	0	0	3.97	0	0	0	2.36	2.93	0	0	12.66	33.56	0	0	10.16	19.87	0	0	3.4	21.8	129.1	2.95	2.1	0	18.71	1.57	38.36	0	74.74
TAF4B	0	68.59	45.04	60.04	0	135.06	291.28	92.43	68.61	67.24	112.08	23.15	148.23	7.94	37.96	58.1	12.76	47.15	12.33	0	0	132.92	0	0	126.76	163.05	84.12	125.3	237.51	127.74	43.59	210.21	80.17	0	71.42	130.44	85.14	76.49	38	119.03	0	94.02	147.42	18.94	140.96	230.8	44.09	108.94	173	143.94
TAF5	60.03	62.16	186.18	0	89.42	8.71	92.61	167.43	56.36	139.52	71.43	59.53	72.54	0	2.92	50.46	0	161.65	113.04	96.67	1.67	0	0	3.97	0	336.96	8.14	2.36	205.26	0	0	0	80.17	0	0	140.6	17.03	101.23	79.8	81.62	0	71.56	32.43	0	93.09	68.62	149.58	13.81	49.43	89.96
TAF5L	0	0	42.04	0	0	0	0	0	11.03	0	1.1	125.67	0	3.97	1.46	0	0	0	0	0	0	0	0	83.4	0	0	5.43	125.3	0	46.61	0	0	0	0	73.66	125.36	0	0	0	0	127.14	0	0	111.52	0	43.66	51.96	62.91	0	114.88
TAF6	44.14	55.73	27.03	25.73	58.32	117.64	1.49	48.83	26.95	3.36	41.76	102.52	20.5	107.19	110.97	62.69	58.68	90.93	16.44	114.48	51.81	50.09	0	31.77	59.15	30.44	10.85	14.18	11.73	56.96	62.97	25.33	102.55	0	145.08	59.29	66.69	67.49	0	0	108.98	103.84	168.06	31.56	53.19	0	0	121.22	115.34	16.61
TAF6L	0	0	0	175.82	0	0	0	0	148.25	0	0	0	0	0	0	0	0	11.79	0	2.54	0	0	0	0	0	0	0	0	0	0	0	43.05	0	0	0	0	0	0	0	0	125.32	148.74	2.95	0	0	162.18	0	0	0	89.96
TAF7	466.08	229.33	306.29	173.68	365.47	320.23	582.57	470.9	399.42	616.92	415.37	813.57	380.04	549.83	271.58	347.08	99.51	441.18	224.02	717.42	578.26	574.06	0	563.96	536.61	252.18	404.31	293.15	208.19	438.45	605.44	448.27	292.73	0	223.2	575.96	600.22	776.13	391.41	646.15	450.44	294.68	464.38	544.96	34.57	595.7	451.88	234.76	413.97	380.61
TAF7L	0	55.73	39.04	0	0	0	13.44	0	0	33.62	18.68	0	0	0	61.32	0	0	0	96.6	0	0	0	0	0	0	71.74	0	0	2.93	0	0	70.91	0	0	15.62	0	36.89	0	0	13.6	0	0	0	0	0	81.09	1.57	0	0	37.37
TAF8	0	17.15	0	23.59	58.32	0	0	0	6.13	0	0	3.31	0	7.94	62.78	0	0	57.25	0	15.26	21.73	0	0	182.69	59.15	32.61	29.85	0	43.98	10.36	0	2.53	24.24	0	0	0	0	2.25	3.8	0	0	0	0	0	0	62.38	0	10.74	0	0
TAF9	211.86	150.03	376.86	381.66	167.18	1078.33	567.63	451.71	325.91	319.39	425.26	793.73	510.92	657.02	436.57	435.76	273	461.39	314.45	231.51	357.65	947.78	0	150.92	354.92	371.75	306.62	442.08	413.44	764.7	256.7	182.35	169.67	0	178.56	269.35	455.49	438.68	152.01	540.73	494.03	561.29	414.25	288.26	271.28	311.89	727.41	544.71	195.66	1172.29
TAF9B	42.37	0	139.63	2.14	97.2	52.28	5.98	68.02	3.68	52.11	12.09	112.44	3.15	0	24.82	44.34	2.55	1.68	174.69	10.18	250.69	36.6	0	0	54.93	0	0	2.36	43.98	0	4.84	187.41	3.73	0	35.71	16.94	8.51	49.49	174.81	85.02	118.06	54.73	63.39	0	42.55	43.66	33.06	33.76	65.91	24.91
TAGAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAGLN	0	0	0	0	0	0	0	0	1.23	50.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.86	0	0	0	16.78	0	0	0	0	0	0	0	47.22	0	0	98.89	0	15.59	0	0	0	0
TAGLN2	10.59	0	24.02	57.89	0	0	119.5	31.39	83.32	0	74.72	112.44	42.58	101.23	39.42	50.46	35.72	0	0	0	18.38	0	0	0	0	0	2.71	18.91	73.31	193.33	87.18	78.51	61.53	0	4.46	25.41	43.99	191.22	0	88.42	0	5.61	42.75	0	95.74	118.52	1.57	3.07	183.3	53.98
TAGLN3	1.77	0	0	45.03	0	26.14	0	45.35	17.15	0	1.1	0	190.81	0	0	50.46	0	0	0	0	0	0	0	0	0	0	0	0	0	62.14	0	0	85.77	0	0	0	0	0	0	61.21	0	0	0	0	0	46.78	0	0	0	0
TAL1	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0
TAL2	0	0	0	0	0	0	0	0	0	3.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TALDO1	134.17	130.74	3	235.86	202.17	113.28	297.26	15.7	262.2	275.68	325.26	76.07	253.88	138.95	186.89	119.26	196.46	40.41	195.25	269.67	40.11	184.93	0	3.97	388.73	54.35	187.23	96.93	61.58	75.95	150.15	162.09	65.26	0	205.35	223.61	268.18	60.74	95	221.05	236.12	44.9	188.7	164.12	146.28	99.8	127.53	72.12	238.91	105.19
TAMM41	49.43	0	1.5	8.58	7.78	45.75	0	8.72	0	0	2.2	251.35	26.81	77.41	48.18	0	43.37	5.05	145.92	2.54	0	1.93	0	51.63	0	0	111.25	0	0	0	24.22	169.69	59.66	0	2.23	55.9	65.27	0	0	0	0	216.1	39.8	0	5.32	0	53.53	0	2.06	52.59
TANC1	0	4.29	1.5	0	0	2.18	0	0	2.45	13.45	0	115.75	23.65	140.93	1.46	56.57	10.21	0	0	0	0	0	0	0	0	0	0	0	61.58	0	222.8	25.33	0	0	66.96	0	42.57	0	68.4	51.01	29.06	71.56	0	0	0	53.02	141.7	32.22	76.2	0
TANC2	63.56	83.59	21.02	171.53	213.84	43.57	86.64	176.15	42.88	166.42	91.2	162.05	1.58	13.89	197.11	1.53	71.44	38.73	139.76	2.54	115.32	335.19	0	532.19	0	6.52	149.24	141.84	202.32	182.97	82.34	86.11	152.89	0	104.9	182.95	14.19	35.99	72.2	40.81	34.51	124.89	97.3	140.98	135.64	152.82	64.55	181.06	313.05	220.06
TANGO2	0	0	1.5	0	0	0	2.99	22.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.58	0	0	0	0	0	0	8.47	1.42	0	0	0	0	0	116.46	0	0	0	0	0	35.01	17.99
TANGO6	0	90.02	73.57	0	0	0	0	0	1.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.12	0	0	0	0	0	24.12	112.48	0	0	0	0	0	0	0	0	0	13.81	0	0
TANK	63.56	0	1.5	17.15	58.32	121.99	17.93	101.16	26.95	25.21	37.36	0	22.08	71.46	18.98	39.75	81.65	11.79	30.83	17.81	46.8	0	0	0	0	45.65	97.68	54.37	173	0	0	2.53	35.43	0	129.46	91.48	69.53	114.73	45.6	139.43	0	99.63	25.06	90.48	82.45	0	119.66	0	30.89	84.43
TAOK1	206.56	57.87	0	152.24	7.78	76.25	194.19	104.64	47.78	58.83	41.76	56.22	31.54	0	32.12	29.05	0	18.52	2.06	17.81	78.55	1.93	0	7.94	177.46	0	439.58	231.68	0	84.58	193.74	134.23	5.59	0	40.18	28.8	17.03	49.49	0	3.4	83.55	289.07	1.47	37.87	2.66	93.57	85.02	82.86	26.77	164.7
TAOK2	19.42	0	27.03	0	0	2.18	52.28	0	14.7	0	31.87	0	0	11.91	84.69	0	0	20.21	0	81.41	0	13.48	0	11.91	0	0	73.26	0	0	58.69	0	0	5.59	0	53.57	0	0	0	7.6	98.62	7.27	1.4	48.65	71.54	0	0	72.43	10.74	4.12	0
TAOK3	173.01	12.86	54.05	0	54.43	322.41	155.35	195.33	23.28	1.68	106.59	62.84	82	115.13	45.26	77.98	48.48	104.4	0	200.98	48.47	86.69	0	417.01	109.86	0	2.71	2.36	129.02	86.31	67.81	78.51	270.36	0	11.16	240.55	187.3	83.24	91.2	0	0	44.9	147.42	98.89	0	24.95	67.7	139.63	107.1	318.33
TAP1	0	0	0	6.43	0	0	0	0	0	0	0	0	4.73	3.97	0	0	0	0	0	0	0	0	0	0	0	0	2.71	4.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36	0	0	0	0
TAP2	0	0	0	0	0	0	0	0	0	0	0	26.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.34	0	0	0	0	0	0	0	0	59.26	0	44.5	0	0
TAPBP	1.77	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	2.55	1.68	0	0	0	0	0	67.52	0	2.17	0	0	2.93	0	9.69	2.53	37.29	0	2.23	0	24.12	0	205.21	0	0	0	0	6.31	15.96	0	11.02	6.14	8.24	0
TAPBPL	0	0	0	0	0	0	0	5.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAPT1	7.06	0	0	77.19	0	0	13.44	1.74	0	42.02	1.1	0	1.58	0	18.98	36.7	5.1	52.2	51.38	0	0	13.48	0	274.04	0	78.26	8.14	2.36	0	0	0	2.53	0	0	0	1.69	48.24	0	0	71.42	38.14	49.11	0	147.29	5.32	12.48	59.83	0	63.85	0
TAPT1-AS1	0	0	0	0	0	0	0	0	1.23	0	0	0	0	0	0	3.06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARBP1	3.53	126.45	39.04	0	66.1	117.64	2.99	55.81	1.23	134.48	81.32	0	29.96	71.46	146.01	67.27	0	112.82	39.05	94.13	0	59.72	0	142.98	507.03	215.22	0	7.09	11.73	3.45	67.81	129.16	0	0	37.94	83.01	5.68	0	114	132.63	54.49	108.05	0	42.08	82.45	168.42	20.47	145.77	86.5	2.77
